LEGEND:,Unnamed: 0,Unnamed: 1,#,Name (known as),Charity?,Charity #,Charity,Org.,Affiliate of,City,Prov.,Other Names,Website and Social Media,Sex Ed Programs,Other Names Website and Social Media,Name (known as) Charity?
Anglais,,Français,,,,,,,,,,,,,,
Name (known as),Nom (nom connu),,,,,,,,,,,,,,,
Charity?,Organisme de bienfaisance?,,,,,,,,,,,,,,,
Charity #,"Numéro d’enregistrement de l’organisme de bienfaisance.  À moins d’indication contraire, tous les numéros commencent par « RR0001 ».",,,,,,,,,,,,,,,
Charity type,Type d’organisme,,,,,,,,,,,,,,,
,"Catégories principales des fins de bienfaisance telles que définies par l’Agence du revenu du Canada : soulagement de la pauvreté (Poverty), avancement de la religion (Religion), avancement de",,,,,,,,,,,,,,,
,"l’éducation (Education) et autres fins profitant à la collectivité (Other). Dans le tableau, les organismes de la catégorie Other sont désignés par « Community Org. » (organisation communautaire) et les",,,,,,,,,,,,,,,
,"sous-catégories « Health (Core or Supportive) » (santé, de base ou de soutien), Resource (ressource), Foundations (fondations) et Human Rights (droits de la personne).",,,,,,,,,,,,,,,
Org. type,Type d’organisation,,,,,,,,,,,,,,,
,L’acronyme anglais CPC signifie crisis pregnancy centre (centre conseils grossesse ou centre de crise ou d’urgence en cas de grossesse — CCG) ou centre religieux de conseil post-avortement •,,,,,,,,,,,,,,,
,Advocacy or political group : groupe de défense ou groupe politique. Dans la liste figurent quelques groupes qui promeuvent l’abstinence avant le mariage et des agences d’adoption. Les maisons de,,,,,,,,,,,,,,,
,"naissance n’y sont pas incluses, sauf si elles offrent des conseils sur la grossesse.",,,,,,,,,,,,,,,
Affiliate of (incl. religious,Affilié de (incluant les affiliations religieuses),,,,,,,,,,,,,,,
affiliation),Birthright signifie Birthright International. PCC signifie Pregnancy Care Canada (anciennement CAPSS pour Canadian Association of Pregnancy Support Services — association canadienne des services,,,,,,,,,,,,,,,
,de soutien en cas de grossesse). Heartbeat International et Care Net sont des groupes de coordination basés aux États-Unis et qui listent de nombreux CCG canadiens.,,,,,,,,,,,,,,,
City,Ville,,,,,,,,,,,,,,,
Prov.,Province,,,,,,,,,,,,,,,
Other names,"Autres noms.  Il peut s’agir d’un nom déposé, d’un ancien nom ou d’un autre nom par lequel l’organisme est connu. Il peut aussi s’agir d’autres groupes gérés par l’organisme ou qui y sont associés.",,,,,,,,,,,,,,,
Website and Social Media,Site Web et médias sociaux,,,,,,,,,,,,,,,
Sex Ed Programs,Programmes d’éducation sexuelle,,,,,,,,,,,,,,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,1.0,40 Days for Life Toronto,N,,,Advocacy,40 Days for Life,Toronto,ON,,www.40daysforlife.com/en/toronto/,,,
,,,,,,,,,(US),,,,www.facebook.com/40Days4LifeToronto/,,,
,,,2.0,40 Days for Life,N,,,Advocacy,40 Days for Life,Vancouver,BC,,www.facebook.com/40DaysVancouver,,,
,,,,Vancouver,,,,,(US),,,,,,,
,,,3.0,Abortion Awareness,N,,,Advocacy,CCBR (trained by),Lethbridge,AB,,CCBR: www.endthekilling.ca,,,
,,,,Project,,,,,,,,,,,,
,,,4.0,Accueil Grossesse,Y,135591998.0,Poverty,CPC,,St. Georges de,QC,,www.accueilgrossesse.com/index.html,,,
,,,,Beauce-Apalaches,,,,,,Beauce,,,,,,
,,,5.0,Accueil Grossesse,Y,890639396.0,Poverty,CPC,Birthright /,Drummondville,QC,,www.birthright.org,,,
,,,,Birthright,,,,,Alliance,,,,www.facebook.com/Accueil.Grossesse.Birt,,,
,,,,,,,,,,,,,hright.Drummondville/?fref=ts,,,
,,,,Drummondville,,,,,Ressources,,,,,,,
,,,,,,,,,Grossesse,,,,,,,
,,,6.0,Action Life Ottawa,Y,118777341.0,Poverty,Advocacy,Alliance for Life,Ottawa,ON,,www.actionlife.org/,"They offer many resources (DVDs,",,
,,,,,,,,,Ont.,,,,www.facebook.com/ActionLifeOttawa,"guides, books) and do community",,
,,,,,,,,,LifeCanada,,,,https://twitter.com/ActionLifeOtt,education to groups and churches. “The,,
,,,,,,,,,,,,,www.youtube.com/user/actionlifeottawa/,office staff are always willing to provide,,
,,,,,,,,,,,,,,information to students and researchers,,
,,,,,,,,,,,,,,on life issues ”,,
,,,,,,,,,,,,,,Also they have a student video contest:,,
,,,,,,,,,,,,,,“Challenging students to think about life,,
,,,,,,,,,,,,,,issues and the value of human life,,
,,,,,,,,,,,,,,through video contests”,,
,,,,,,,,,,,,,,https://www.actionlife.org/#single/0,,
,,,,,,,,,,,,,,Used to have a Catholic School,,
,,,,,,,,,,,,,,"guidebook, no longer on website.",,
,,,7.0,Advokate Life &,Y,133318832.0,Poverty,Advocacy,Christian non-,Abbotsford,BC,Runs Hope for,https://advokate.ca/,Community education: “Advokate gives,,
,,,,Education Services,,,,,sectarian,,,Women (CPC) in,www.facebook.com/advokatelife,presentations on a wide variety of topics,,
,,,,Society (ALESS),,,,,,,,"Abbotsford,",twitter @advokatelife,"including Sexual Health, Pregnancy",,
,,,,,,,,,,,,"Langley, Prince",Pinterest/Instagram @advokatelife,"Options and Health, Prenatal",,
,,,,,,,,,,,,,www.youtube.com/c/AdvokateLifeandEdu,,,
,,,,,,,,,,,,George; Emerged,cationServices,"Development, and Abortion Bioethics.”",,
,,,,,,,,,,,,from Abbotsford,,https://advokate.ca/about-us/,,
,,,,,,,,,,,,Right to Life,,,,
,,,8.0,Advokate Life &,Y,133318832.0,Poverty,Advocacy,Christian non-,Langley,BC,Runs Hope for,https://advokate.ca/,“Advokate gives presentations on a wide,,
,,,,Education Services,,,,,sectarian,,,Women (CPC) in,www.facebook.com/advokatelife,"variety of topics including Sexual Health,",,
,,,,,,,,,,,,,twitter @advokatelife,,,
,,,,Society (ALESS),,,,,,,,"Abbotsford,",,"Pregnancy Options and Health, Prenatal",,
,,,,,,,,,,,,"Langley, Prince",Pinterest/Instagram @advokatelife,"Development, and Abortion Bioethics.”",,
,,,,,,,,,,,,,www.youtube.com/c/AdvokateLifeand,,,
,,,,,,,,,,,,George. Emerged,EducationServices,https://advokate.ca/about-us/,,
,,,,,,,,,,,,from Abbotsford,,,,
,,,,,,,,,,,,Right to Life,,,,
,,,9.0,Aid to Women Crisis,Y,889859468.0,Poverty,CPC,,Toronto,ON,Lifeline,http://aidtowomen.ca/,,,
